frame_id,time_sec,logical_vehicle_id,raw_track_id,tracklet_id,source,class_name,confidence,x1,y1,x2,y2,center_x,center_y,association_status,vehicle_validity_status,purity_status,final_gate_status
5,0.10,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.913160,1339.46,966.19,1431.16,1061.65,1385.31,1013.92,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.895620,976.01,471.86,1036.48,532.19,1006.25,502.03,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.847739,1192.16,588.77,1259.49,656.06,1225.83,622.41,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.923280,1064.60,588.63,1133.60,658.40,1099.10,623.51,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.808734,909.20,285.61,952.83,322.87,931.02,304.24,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
5,0.10,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.839654,988.46,359.90,1038.68,405.20,1013.57,382.55,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.812649,836.90,208.08,878.46,243.80,857.68,225.94,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.686301,1419.69,542.36,1506.36,673.38,1463.03,607.87,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.802380,1464.97,335.92,1525.24,376.05,1495.11,355.99,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
5,0.10,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.585692,786.66,201.90,828.36,245.13,807.51,223.51,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.911468,1340.08,966.94,1431.89,1062.50,1385.99,1014.72,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.906644,977.19,473.12,1037.64,533.44,1007.42,503.28,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.908467,1190.23,586.79,1257.44,653.94,1223.84,620.37,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.896058,1065.94,590.20,1134.77,659.83,1100.36,625.02,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.776039,907.54,283.53,952.24,321.64,929.89,302.58,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
6,0.12,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.824966,987.33,358.80,1037.67,404.19,1012.50,381.50,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.813812,835.97,206.87,877.57,242.80,856.77,224.84,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.677142,1420.15,541.49,1507.16,672.57,1463.66,607.03,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.800154,1465.07,335.83,1525.40,376.02,1495.24,355.92,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
6,0.12,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.578147,786.64,201.88,828.36,245.13,807.50,223.50,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.912333,1340.72,967.67,1432.64,1063.29,1386.68,1015.48,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.918424,977.80,473.92,1038.77,534.83,1008.28,504.38,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.888924,1188.47,584.80,1255.72,651.99,1222.10,618.39,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.884830,1067.22,591.62,1136.04,661.28,1101.63,626.45,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.783127,906.41,282.10,951.51,320.48,928.96,301.29,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
7,0.14,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.817755,986.77,357.91,1036.93,403.11,1011.85,380.51,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.820579,834.60,205.69,876.28,241.81,855.44,223.75,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.626511,1420.87,540.87,1508.06,671.77,1464.46,606.32,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.784921,1465.14,335.72,1525.53,375.99,1495.34,355.86,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
7,0.14,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.577816,786.62,201.88,828.33,245.12,807.48,223.50,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.914952,1341.48,968.43,1433.24,1063.78,1387.36,1016.11,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.912895,978.61,475.10,1039.79,536.33,1009.20,505.72,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.894276,1187.02,582.89,1253.84,649.63,1220.43,616.26,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.894011,1068.29,592.79,1137.20,662.55,1102.74,627.67,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.803113,905.50,281.41,950.34,319.48,927.92,300.45,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
8,0.16,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.824983,986.02,356.98,1036.24,402.20,1011.13,379.59,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.824677,833.11,204.20,875.59,241.24,854.35,222.72,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.639295,1421.22,540.32,1508.44,670.69,1464.83,605.51,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.785643,1465.24,335.65,1525.62,375.95,1495.43,355.80,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
8,0.16,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.577386,786.64,201.89,828.30,245.09,807.47,223.49,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.916139,1342.25,969.25,1433.72,1064.16,1387.99,1016.71,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.903152,979.44,476.41,1040.60,537.67,1010.02,507.04,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.883060,1185.68,580.96,1252.56,647.75,1219.12,614.36,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.903321,1069.53,594.12,1138.59,664.04,1104.06,629.08,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.852737,905.34,280.81,949.86,318.61,927.60,299.71,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
9,0.18,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.831904,985.16,356.13,1035.55,401.47,1010.36,378.80,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.820548,831.75,203.03,874.63,240.65,853.19,221.84,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.605006,1421.86,539.44,1509.22,669.45,1465.54,604.45,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
9,0.18,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.772650,1465.24,335.63,1525.59,375.92,1495.41,355.77,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
