from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0622_tl02,mot_0622_tl04,mot_0622,mot_0622,1724,1731,6,9.55,1.09,21.55,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl03,mot_0622_tl04,mot_0622,mot_0622,1728,1731,2,1.38,1.05,5.38,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl04,mot_0622_tl05,mot_0622,mot_0622,1740,1742,1,0.93,1.05,2.93,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl04,mot_0622_tl06,mot_0622,mot_0622,1740,1746,5,2.38,1.08,12.38,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl04,mot_0622_tl07,mot_0622,mot_0622,1740,1749,8,1.47,1.03,17.47,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl05,mot_0622_tl06,mot_0622,mot_0622,1743,1746,2,1.57,1.06,5.57,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl05,mot_0622_tl07,mot_0622,mot_0622,1743,1749,5,1.33,1.11,11.33,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl05,mot_0622_tl08,mot_0622,mot_0622,1743,1752,8,0.51,1.16,16.51,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl06,mot_0622_tl07,mot_0622,mot_0622,1747,1749,1,2.83,1.04,4.83,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl06,mot_0622_tl08,mot_0622,mot_0622,1747,1752,4,4.72,1.08,12.72,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl07,mot_0622_tl08,mot_0622,mot_0622,1749,1752,2,5.47,1.05,9.47,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl08,mot_0622_tl09,mot_0622,mot_0622,1759,1766,6,5.00,1.24,17.00,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl09,mot_0622_tl10,mot_0622,mot_0622,1766,1774,7,17.63,1.20,31.63,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl09,mot_0622_tl11,mot_0622,mot_0622,1766,1776,9,19.25,1.32,37.25,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl10,mot_0622_tl11,mot_0622,mot_0622,1774,1776,1,1.75,1.10,3.75,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl11,mot_0622_tl12,mot_0622,mot_0622,1790,1796,5,6.29,1.11,16.29,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl12,mot_0621_tl02,mot_0622,mot_0621,1819,1828,8,42.46,1.19,61.46,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl12,mot_0622_tl13,mot_0622,mot_0622,1819,1821,1,3.91,1.06,5.91,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl12,mot_0622_tl14,mot_0622,mot_0622,1819,1824,4,3.23,1.07,11.23,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl12,mot_0622_tl15,mot_0622,mot_0622,1819,1826,6,3.18,1.03,15.18,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl12,mot_0622_tl16,mot_0622,mot_0622,1819,1828,8,4.12,1.02,20.12,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0011_tl10,mot_0621_tl02,mot_0011,mot_0621,1822,1828,5,1076.60,1.43,1089.60,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl10,mot_0622_tl14,mot_0011,mot_0622,1822,1824,1,1118.33,1.16,1123.33,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl10,mot_0622_tl15,mot_0011,mot_0622,1822,1826,3,1120.06,1.21,1129.06,REJECT_DISTANCE,PENDING_REVIEW
mot_0011_tl10,mot_0622_tl16,mot_0011,mot_0622,1822,1828,5,1122.85,1.22,1135.85,REJECT_DISTANCE,PENDING_REVIEW
mot_0622_tl13,mot_0621_tl02,mot_0622,mot_0621,1822,1828,5,41.63,1.25,54.63,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl13,mot_0622_tl14,mot_0622,mot_0622,1822,1824,1,1.34,1.01,3.34,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl13,mot_0622_tl15,mot_0622,mot_0622,1822,1826,3,3.07,1.05,9.07,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl13,mot_0622_tl16,mot_0622,mot_0622,1822,1828,5,5.41,1.06,15.41,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl14,mot_0621_tl02,mot_0622,mot_0621,1824,1828,3,50.17,1.25,59.17,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl14,mot_0622_tl15,mot_0622,mot_0622,1824,1826,1,3.85,1.04,5.85,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl14,mot_0622_tl16,mot_0622,mot_0622,1824,1828,3,6.26,1.05,12.26,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0621_tl01,mot_0621_tl02,mot_0621,mot_0621,1826,1828,1,0.29,1.03,2.29,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0621_tl01,mot_0622_tl16,mot_0621,mot_0622,1826,1828,1,46.69,1.15,51.69,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl15,mot_0621_tl02,mot_0622,mot_0621,1826,1828,1,47.72,1.19,52.72,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl15,mot_0622_tl16,mot_0622,mot_0622,1826,1828,1,2.41,1.01,4.41,ACCEPT_CANDIDATE,AUTO_ACCEPT
